date,review,rating,user,source,month,year,neg_review
2020-04-15 22:42:22,"At first, delivered items on the last order still appeared in the cart. After removing them manually item by item, they still appeared after opened app from another phone. Then all reappeared on my phone after I clicked on cart. fter I spent 30 mins putting itens into cart, all items disappeared! It seems items which should be removed aren't removed and items which are newly added are removed. Wasted my time and effort!!!",1,S.M Tan,googleplay,4,2020,1
2020-05-30 09:56:00,"The app is getting worse, it will show items out of stock immediately after i selected the item. Now I can't even checkout, it will tell me I have an invalid cart. I was patient enough to clear everything in my cart and add back the items but it still failed.",1,Khong Hai Wang,googleplay,5,2020,1
2020-05-30 10:06:23,"Techical bugs need to be fixed, e.g. 'invalid cart'. Should not auto-remove our item if it's out of stock. Why not just disable the check-out function for the item while maintaining it at the cart? I have been using this app for more than 3 years. Before the CB, things work fine. During the CB, i can see that other platforms are catching up and improving their app, now working much better than this app. FairPrice Online instead is lagging behind and losing the #1 choice reputation.",1,Rou Shen Liew,googleplay,5,2020,1
2020-04-18 09:23:27,"This app is good, but I want buy something but in this app show the item is out of stock. I go nearest Fair Prices see the items I need got stocks, why this happens? Why this app didn't update the listing? Always dont have times slots",1,Sie Li Seong,googleplay,4,2020,1
2020-04-05 00:27:03,"App checkout was so slow. When I was trying to pay my bank gave an error with an OTP which turn made my transaction unsuccessful. And to make matters worse, my cart became empty.",1,James Phillip Cañada,googleplay,4,2020,1
2020-04-20 19:54:39,Please let us choose the date and time slot for next week or further date. And do not update the cart until we click checkout..or else every time we have to re add in the items repeatedly.,1,Ng EFang,googleplay,4,2020,1
2020-09-08 13:59:43,"I have shifted to Red mart and PrimeNow for some time due to bad experience. Thought to give it a try again, but experience is still bad. Always no stock on very basic items and limited selections that is far far less than the physical store. Eg. fresh seafood, pork...even don't have regular tomatoes. Worst, the order is almost always amended to remove a few items due to no stock. This creates problem as the main ingredient for a dish is gone.The inventory system is certainly broken.",1,Tan PK,googleplay,9,2020,1
2020-04-06 00:17:20,"I don't know how this app was on normal times, but in this high demand time, exactly at midnight the cart never loads, and after every few minutes it says my cart is empty. Failed Load Test Miserably",1,Rajasekhar Tatavarthi,googleplay,4,2020,1
2020-04-12 11:45:06,"Have been waiting for the earliest timeslot. It appeared. But then as i wanted to place order, it disappeared again. Please have it fixed. Thanks.",1,Cindy Mui,googleplay,4,2020,1
2020-04-21 15:41:00,"this app is as good as useless when everyday the delivery slots are full and the items in the cart is getting out of stock, item by item.",1,Chong Kok Beng,googleplay,4,2020,1
2020-04-12 11:30:43,could not check out. reset my cart to empty twice! server very laggy.,1,Gary Lim,googleplay,4,2020,1
2020-04-12 20:34:36,"Have been monitoring the delivery slots for many days. Whenever there's slot, i get error messages and order can't put through! How to stay at home? Forcing people to go on street... goodness me...",1,1AndOnlyInez Sohl,googleplay,4,2020,1
2020-07-25 10:58:42,Cannot use the scan n go,1,cheapbreads,googleplay,7,2020,1
2020-04-06 12:15:10,"Alot of the item is out of stock, so much stock at physical shop but online shop is always oos , got delivery slot also no use",1,Wilson Chen,googleplay,4,2020,1
2020-04-20 05:45:18,"Useless app and website, forever no slot for delivery",1,Lawrence Lee,googleplay,4,2020,1
2020-06-20 22:05:08,please extend the payment method like pay now and paylah as well. Thank you.,1,RAHMAN MAHFUJ,googleplay,6,2020,1
2020-03-23 23:41:21,"All delivery slots are currently full, but I cant even choose any dates. Cant make payment.",1,Dezmond Ng,googleplay,3,2020,1
2020-04-04 11:39:19,"For the pass few weeks, delivery slot is always full. Why still let shopping on app if there's no delivery?",1,Sam Koh,googleplay,4,2020,1
2020-03-20 09:01:10,"Cannot get a delivery slot for 2 weeks!. Asked to try again later. Left items in shopping cart. Went back to shopping cart again, some items in my cart now showed out of stock!. Gave up. Tried again next day same out of stock items now available but same issue/experience as mentioned. No delivery slot! Asked to try again.",1,CO Foo,googleplay,3,2020,1
2020-03-22 09:55:41,"updated the app for the in store scan payment function. But realised after that, I can shop online as any category i press in, i did not a single product being displayed. It's all blank screen. I off and on several times and it is still so. Am uninstalling it!!!",1,Serena Wong,googleplay,3,2020,1
2019-10-03 21:53:14,"The upgrade slows down everything. Why ask for delivery address first? I prefer the older app which asks for address after order is confirmed and paid. Special offers highlighted in red shows only 1 line of text, which means I have to click on it to read what the special offer is. Slows things down. Imagine having to click on the red text for all the items you're ordering. The search engine is also not smart and intuitive. I don't feel like ordering.",1,Luan Yee,googleplay,10,2019,1
2020-03-27 13:58:51,problem adding to cart.,1,Lih Yeu Ong,googleplay,3,2020,1
2018-12-31 13:59:25,"Terrible app with bugs! Contact us is a web view which cannot upload photos as intended. Long waiting time and no feedback that the form is under server processing. Password management is highly insecured. Lost confidence to input credit card information. Multiple halt and hungs where I am out of the app to my app launchpad on Android 8. Poor Usability, User Journey Thinking and User Experience! These are reasons now not to award any stars if possi le to such crappy app!",1,David Yew,googleplay,12,2018,1
2019-10-20 14:40:56,"The transaction could not go through citing to me that my ocbc credit card had expired. I uninstalled and reinstalled the app, deleted and added the credit card details only to be told the same error message. I tried a credit card with another bank, dbs, and it worked. I even called ocbc to verify the status of the card abd the cso reassured me that there was no issue. A huge inconveniece indeed!",1,Sue Supaah,googleplay,10,2019,1
2020-01-22 17:55:13,"The old version was very user-friendly, until the recent update. Now, I am prevented from buying many items, especially the bulky items, because the store that is tagged to my address is a smaller one and doesn't carry most of the items I am looking for. Terribly disappointed with this new updated version. I emailed you on 10 November 2019 at your request, but that was absolutely no reply from you.",1,Karen Law,googleplay,1,2020,1
2019-11-10 22:21:54,"Easy to use. However, limited products available, and some out of stock. This lead to having the need to purchase the products directly from the mart. Bar code scanner removed after the app gets updated. Please bring the barcode scanner back. It makes grocery shopping much easier when you are physically at the supermarket to browse the products, but would like to purchase online and have them delivered instead.",1,Keith Tan,googleplay,11,2019,1
2019-10-20 10:57:18,"The old apps used to work fine. After some upgrade, it was horrible. The payment and checkout keep registering unsuccessful transaction and ask to check for card expiry. It is your apps problem NTUC FairOn ...nothing to do with the bank credit card. When the app is doing fine, leave it - don't be too clever to change it. BTW, the new app is not user friendly because you cannot re-order again from your last order...disappointing!",1,Jeff,googleplay,10,2019,1
2020-03-23 18:24:27,Tried making a purchase but facing buggy experience at the checkout page. Key in all my details but the Pay button disappears after verifying my delivery address. Really disappointed with the app. Update: managed to purchased 4 XXL size diapers using laptop web browser but received 4 L size diapers. You screwed up my first purchase! What the hell is wrong with fairprice online?,1,Derek Lee,googleplay,3,2020,1
2019-11-22 20:46:27,"Since the new version was updated, i have not been able to successfully submit any orders. The older versiin was more user friendly. This new version does not show tat the item is out of stock. Only when i proceed to pay then the app informed tat the item is not available. And each time the items not available are different, even when i retried payment immediately. How to buy online in this case?",1,SM Kwek,googleplay,11,2019,1
2018-12-20 18:24:21,"frustrating, not user friendly, promotion code when applied keep giving error message, feedback template could not upload image file despite pressing the + sign. Called helpdesk, lucky that the operator was helpful who email me so that i can do a reply and attach the image file of the error message. But still waiting for response probably by then the promotion code expired. Very disappointed!",1,CW,googleplay,12,2018,1
2020-03-27 21:26:56,NO DELIVERY AVAILABLE is what that keeps popping up for the past week! Whats the point of having an app that cannot function? Please i hope someone from NTUC will look into this matter,1,JasmIne Minmin,googleplay,3,2020,1
2019-10-22 18:08:02,"After app update, browsing become laggy, especially when +/- qty in the cart. And why remove the barcode scanner??? It was so easy to find item online when i could scan the barcode on the item. The search online is not align with items at all!.. I key in dory steak and pork will appear..",1,Jakob Yeo,googleplay,10,2019,1
2020-07-10 14:03:40,Can't even download... Wasted 20 min that could have been used queueing in a normal counter.,1,Cecilia Wong,googleplay,7,2020,1
2019-03-24 11:55:19,Cant submit credit card payment unless you click save credit card info. After submitting credit payment nothin happened telling me if the payment is being processed. Then when i click payment button again then thats the time it prompts pricessing payment.very bad experience and had to call the bank if my first payment went through.,1,Loyski Loylen,googleplay,3,2019,1
2019-10-30 12:09:48,"Three previous orders went thru without any issue. However, for the last order made last week, the order status is not updated at all till now while I am writing this review. Twice reinstall of apps(told to) which doesn't resolve issue. Called in vain a few times, to check on the delivery, it finally arrived at the very last minute of the 2-hrs time slot, came at 5:59pm. No link points given on all purchases too. No response received yet as of today 30 Oct 2019.",1,Darius Chew,googleplay,10,2019,1
2019-03-22 10:04:54,"This app is always running in the background even after setting restrict background activities. Waste phone resource and battery. UNISTALL. By the way, other shopping apps (Cold Storage, Qoo10, Lazada, Ali Express etc) do not suck battery life like this Fairprice vampire.",1,Wayne Koh,googleplay,3,2019,1
2019-10-27 11:55:41,"After the app update, the app was stucked at its opening page and not moving. I have tried reinstalling it and yet same thing. I am not able to go into the app and make my groceries purchase! I really do prefer the old version to this! Please fix this asap!",1,Sheena Hamdan,googleplay,10,2019,1
2019-10-19 00:19:27,"The new updated version is bad, please roll back to previous version. My favourite list state that there are 45 items, but in fact only have 31 items, no idea where the 14 items are. The list is useful for quick buy and check out.",1,Yue Göring,googleplay,10,2019,1
2020-05-18 20:54:36,"App is good but the service from Ntuc is terrible. Missing items, poor communication with the delivery guys... Better buy from the store itself",1,Dilip Gobind,googleplay,5,2020,1
2018-10-22 04:21:18,"after the so-called update to fix e earlier issues mentioned, its EVEN worse ..keeps going white/ blank screen n pages keeps hanging !! pls do a Proper fix-up! its is freaking frustating tat i have to keep exit from apl n go in again .only to have it hang again !!!",1,Amanda AK,googleplay,10,2018,1
2020-04-12 00:10:32,The app doesn't even load. Improve this leh. How to buy when load screen take up to 5min to load. Buy from website even faster.,1,nick,googleplay,4,2020,1
2019-08-13 14:44:43,"i actually like the interface very much and would be a much more frequent app shopper if t many of the items are not reflected as ""sold out"". the payment time takes slightly longer time than i buy on other online apps like q0010.",1,Emilyn Neo,googleplay,8,2019,1
2020-02-07 19:06:23,1st time use is good. Added items in cart in the morning. Reopen app in the evening and could not load the items. But basket shows that it has 12items. Uninstall app and then reset password. Click on the reset password email and takes forever to reset. Now stuck at the reset password link.. damn angry,1,Eric TAN,googleplay,2,2020,1
2020-04-24 00:42:16,I have installed this app for few days now. ALWAYS NO STOCK! NO DELIVERY SLOT! what's the point of the app? 🤦🏻‍♀️,1,KHN ZBAI K,googleplay,4,2020,1
2019-10-22 21:50:16,"The previous version of this app worked fine but this version has issue - everytime when I tried to bookmark an item into my Wish List, the app popped a message saying 'shopping list has updated' but thereafter I tapped into the list, I couldn't see the bookmarked item appear there.",1,J- SY,googleplay,10,2019,1
2020-04-17 11:57:23,I cannot place order each time it showing out of Stock and no delivery slot 😡. Past 3 days I try to place order but cannot,1,Kalaivani R,googleplay,4,2020,1
2019-08-10 13:24:40,the app is not stable. keep hanging and show error. during online promo time even worse cannot even log in. the app doesnt seems to be able to support their high traffic during promo time. can be fruatrating to use.,1,tan aderlyn,googleplay,8,2019,1
2019-10-14 16:59:46,"Since the update, shopping cart doesn't sync across Android app and browser even though it's logged under the same user account. Shopping lists also don't show all items that were added to the list. Items that used to be avaliable are also missing. Epic fail.",1,Eileen Y,googleplay,10,2019,1
2019-09-15 20:57:37,Worst experience. Super slow. Very erroneous. Unable to add and delete items with ease. Really sensitive touch and adds items I didn't even click. Sold out products should not even be listed / selectable! Checkout took me 5 mins to process. App crashed twice.,1,Ajay Kumar Venkatasubramanian,googleplay,9,2019,1
2019-04-06 23:18:21,"Lousy app. Before signing in, I can add the items and see all the free gifts. but once I sign in the items suddenly sold out and gifts deleted. Tried it a few times and it happens again and again. This company only want new customers and disallow repeat customers from buying things thru the app.",1,L Koh,googleplay,4,2019,1
2019-11-26 16:25:31,I would give this app 0 star if there is even. New version sucks to the max. Forever stuck in the main page. Why on earth do NTUC need to upgrade to New Suck Version app when yr Old Version is doing fine?!! Trying to be clever but unfortunately Not!!! Dun tell me that yr technical glitch take forever to rectify?!!,1,Puteri Congeniality,googleplay,11,2019,1
2019-11-12 04:03:19,"as everybody has mentioned, old website was better. new update is very laggy and takes forever to load. cart quantities are always messed up. I was charged twice on my last order. Thank goodness I had evidence of the double charge and I was refunded.",1,nurf tv,googleplay,11,2019,1
2019-10-26 15:09:11,"The new force us to upgrade version is suck!. Waste so much time to order, hang, laggy...not able to select. Please go and do something abt it, otherwise we will order from other suppliers. NOT READY FOR IT, then don't upgrade Apps lah..even the laptop log in also same issue.",1,Kimberley Ho,googleplay,10,2019,1
2019-03-02 10:52:26,"Changed my review after wasted more than an hour. Gives me some error ""0"" over n over. For adding to cart, for picking items,for for reset of password. Even uninstalled and re- installed. If you want customers to keep buying online, what good is a 9-5 mon to fri tel hotline when we encounter an error and require help?",1,Patricia Reincastle,googleplay,3,2019,1
2020-03-18 19:34:05,"Unable to add credit card, unable to purchase using credit card. Keep prompting unable to retrieve key",1,Alex Soh,googleplay,3,2020,1
2019-05-08 11:10:20,this app is not user friendly and not responding well. i wanted to submit an online feedback and it didn't allowed me to. i had to do 3 times of verification that i am not q robot. And it hang right there. i decided to give up and uninstall the app. i will use redmart or honestbee over this anytime,1,Jeslyn Tan,googleplay,5,2019,1
2019-10-26 10:54:10,"The app became terrible after recent update, now it takes forever to refresh pages especially promotions tab simply shows a blank page after a long wait. Please test your updates properly before implementation!",1,James Heng,googleplay,10,2019,1
2018-11-21 07:57:21,"Can't reserve a delivery date. When I asked customer service officer, they asked me to email a print screen, which the app does not allow. After many emails back and forth, problem still unresolved.",1,Sofia A.B,googleplay,11,2018,1
2019-05-28 16:43:40,"Payment mode not stable. Transaction shown failure but payment actually did went through. Although problem resolved, but got advised by their support team that I should clear my browser cookies.",1,Christine Tan,googleplay,5,2019,1
2019-10-28 23:20:52,"The old app worked fine, so why the need for an update? The update made the app laggy and isn't as user-friendly as the previous version. Please bring back the previous version asap!",1,Germaine Yee,googleplay,10,2019,1
2018-12-28 11:02:39,I tried to enter my address postal code many times for months. The application inform not valid. My block is not a new estate. Why is it not valid? Kindly update and IMPROVE it. Thanks,1,Meme Wizard,googleplay,12,2018,1
2019-06-30 00:59:21,Had to restart the apps many times as I couldn't type in my credit card details. Also the SMS OTP feature didn't work for many attempts. Very frustrating.,1,A Google user,googleplay,6,2019,1
2020-01-13 22:44:52,"Try to place my order few times but still unable to manage. After app has been updated, it's very difficult to place order and search stuff, keep hang even I did try to re download app again and again. Honestly, new updated version is not very friendly at all. May think to quit from this app.",1,Phuong Trang,googleplay,1,2020,1
2020-03-18 19:28:34,"Terrible app!! Just settled my JWC membership issue, finally found an available delivery slot now i cant make payment for my orders?? Help center cant upload image to file a case OMG PLS UPGRADE YOUR APP N FIX ALL ISSUES!!!",1,鑫,googleplay,3,2020,1
2019-07-28 12:52:03,Used it a few times but stopped because they are always out of something. Last time I needed 10 packs of Gummi bears and told me that there was only one in stock. Not using NTUC app anymore... just like the stores... terrible product availability.,1,Peaches,googleplay,7,2019,1
2019-09-15 15:01:25,"Not very intuitive. Difficult to use. Also, tried to update my Plus! Card using the app but the app just doesn't register. Useless.",1,J T,googleplay,9,2019,1
2019-10-26 16:03:38,Whoever changed the NTUC app to the new interface should be sacked. Its laggy and i can't even get the payment to go through. Give up after a few attempts. Just revert to the old interface please.,1,Mirabelle Teo,googleplay,10,2019,1
2019-09-29 15:08:03,"After adding my things into the cart, then they show it's sold out. Waited a few days and it's still sold out. Most of the things i want are sold out, might as well don't sell??? It has been 2 months since i wanted to buy bottled/can drinks but always sold out. It kind of defeats the purpose of delivery. Would suggest for ntuc to restock them quickly. If not, you can always try Redmart lol. Even after update, the app is very laggy as well.",1,phoebe low,googleplay,9,2019,1
2019-10-18 18:41:24,"The new apps sucks. Loading for more than 10mins. Deleted apps n redownload, issue remains the same. Can't do anything except deleting the apps. Disappointment. Will place order with other online supermarket.",1,Shirley Lim,googleplay,10,2019,1
2018-12-07 20:18:50,"Despite having a solid wifi connection, I keep getting a ""You are experiencing technical issue with your connecton. Please try again."" error every time I try to make payment. Very frustrating.",1,A Google user,googleplay,12,2018,1
2019-11-05 20:54:57,There is too much blank space! I can't even read the promo text without having to click in. The new screen can't even for 4 items! Too much white space! Omg,1,serwei lee,googleplay,11,2019,1
2019-09-23 14:43:13,Extremely terrible. Please fix the business accounts for this app. It used to be so good but now the business platform on the web suck and it's so slow and confusing. Please don't do this.,1,Artsyballoons,googleplay,9,2019,1
2020-07-03 09:06:10,"Tried 3 orders and it's so bad. First order my items got swapped with other lower cost products without any notice. Second order some of my items gets dropped just after check out. Third order is the cake. Just before delivery, items get dropped and notified by sms. What's the point of delivery and picking fees when items get dropped after checking out in the first place?!",1,Ilsunny Lo,googleplay,7,2020,1
2020-02-10 10:25:47,I have been ordering from this app. And nothing major happened. But today there was a prompt saying there is an error. When i uninstalled and reinstalled the app again it says my address is not serviceable. So whats going on?,1,riah ris,googleplay,2,2020,1
2019-11-14 19:04:27,Page loading takes forever now after the app was given a face lift recently. normal scroll through experience poor with need to load page every now and then. See more of the update wheel than contents.,1,seven henson,googleplay,11,2019,1
2019-10-02 12:35:57,"Needs alot of work done on this app, firstly, web and mobile cart not integrated, check out could be more seamless, auto log me out of my account alot of times...",1,Rachael Ong,googleplay,10,2019,1
2019-09-18 23:48:16,Quantity added to the cart is always not the same as the quantity indicated in the Saved List which is very annoying. And why cant we keep the app locked in? Even if we leave the app for just half an hour?,1,lance kum,googleplay,9,2019,1
2019-03-01 12:07:53,"Unable to submit webform problem exists since I started using app. Called 31389191 many times but IT team NEVER BOTHER ti resolve the issue. I also tried to submit using Chrome, but the same problem exists.",1,Joy BHX,googleplay,3,2019,1
2019-10-04 21:28:46,The new version is bad. The app keeps loading after I add an item to cart. Please fix it. The usability is bad as well.,1,Colyn Wang,googleplay,10,2019,1
2019-09-28 19:58:08,"The contact page is hopeless. Cannot submit query for more than half an hour and need to reinput all over again. Reason due to verification for ""I am not a robot"". Submission hangs.",1,Siet Mee Lam,googleplay,9,2019,1
2019-01-30 11:35:50,"Just a note to all Fairprice On users as i have just experience this today.  You will never be able to contact them for any support.  No support agents ever answer their phone Contact us webpage cannot submit your issues Their support email address cannot be sent to  Frustrating 1 hour trying ways and means to get help so do use this as your discretion, and remember , when you need help - get ready for a long long long journey which may not have an end insight",1,Steven Lee,googleplay,1,2019,1
2019-10-19 09:49:10,I'm using android. Updated the app recently & i could not edit my cart totally. It keep requesting to use current location even after i deny access & input address as in record.,1,Aranda Azima,googleplay,10,2019,1
2018-10-10 21:39:02,Why you dont test the upgrade before you deploy? Proceed to payment doesnt work. The app is hamging out very often. Whats the point of the upgrade,1,Lucy Zareva,googleplay,10,2018,1
2019-05-01 16:05:03,"Totally useless online app. In this time and day, what's the point of ordering online if you need to go down to store to collect the groceries personally!!! This is more like an online ""chope-ing"" app to just chope your groceries.",1,SiewMin Chin,googleplay,5,2019,1
2018-11-15 07:46:52,Same as the other app. Doesn't allow me to continue when I don't select the push notification button. It's irritating that it's mandatory!,1,Juliet Li,googleplay,11,2018,1
2019-09-24 22:12:20,This app needs major improvement. Keep on hanging for no apparent reason and performance is slow and sluggish.,1,Don Lim,googleplay,9,2019,1
2019-09-20 01:04:14,"Keeps bumping my login to business site. And when Im at the business site, it prompts me to change password. After which, another popup appears, and back to square one. I had to re register again with another ac c to succesfully order my items.",1,Zakiah Asmawi,googleplay,9,2019,1
2019-04-09 06:51:06,"After i installed the app, my phone keep having problems with ‘android.process.acore’ appearing every other second. Tried all ways suggested in forums and looks like i need to reset my phone.",1,Mag Kee,googleplay,4,2019,1
2019-02-25 17:52:33,it keeps auto logg off and everytime when i logg in it add on to the previous order. worst ordering app ive tried.. and its not user friendly wjen u want to delete item. from 2 change to 1 must click done.. if u have 30 items u must change and click done 30 times which is s waste of time,1,Lim Bu Yong,googleplay,2,2019,1
2019-10-27 11:30:41,"Initially the app was good. After updated, the app become lagging. It keeps showing hourglass until i got fed up to wait.",1,Cat K,googleplay,10,2019,1
2020-02-08 20:33:51,"Software glitch. First time install, 90 items pre added in the shopping carts, noticed after 1st item in the cart, total value of over S$600! Not able to remove multiple items too.",1,Aung Kyaw Kyaw,googleplay,2,2020,1
2019-10-27 10:26:25,"After latest update, app doesn't load!! It has been a few days. Couldn't log in even onto the website. Please do something about it!!",1,Hanying Wong,googleplay,10,2019,1
2019-09-25 19:59:10,"Can improve: 1. enable editing of qty at the summary page instead of requiring users to click in the item & edit the qty. 2. The repeat order function can be more user friendly - allow re-ordering item by item at the complete order page, instead of all items, otherwise have to remove 1 by 1 those not needed.",1,Swee Ming,googleplay,9,2019,1
2019-10-26 15:36:17,The change recently is making apps run so slowly!! And during payment errors encountered resulting in duplication in orders! Terrible,1,Jessica Teo,googleplay,10,2019,1
2020-02-06 21:21:02,"For thr past few weeks, there are no product shown in the apps at all. Nothing can be bought. Don't bother looking.",1,Anton Qiu,googleplay,2,2020,1
2019-11-26 16:04:00,New update lousy. everytime loading take longer and no friendly to differentiate the products anymore. can go back to the previous app!,1,shirley goh,googleplay,11,2019,1
2019-10-26 13:54:53,"After I placed the order of the items, I proceed to pay. There are error message stated it is unable to proceed. I tried again and I still receive the same message (error unable to proceed). Next moment, I received a text that my items are confirmed to deliver on 28 Oct. And I am very pissed off that they deducted twice. I believed I did the proceed to pay twice cause of the error message that unable to proceed to payment. I wonder how can I get back my refund?",1,Lisa Cheok,googleplay,10,2019,1
2020-01-11 16:42:40,"After update, app sucks, it hangs... going around in circles endlessly... how to proceed? I had emailed pic separately. I had uninstall n reinstall, same problem. Pls fix it. 😡",1,Aning Sg,googleplay,1,2020,1
2019-10-25 00:55:20,It keeps showing me error messages when I want to make payments. App was fine before the update!!!,1,Harini Devi,googleplay,10,2019,1
2019-10-03 20:20:48,Why is all my items in my List all gone after the update. I have shortlisted those items i usually buy. What am i gonna do now. Please fix this asap.,1,DoN-Ent,googleplay,10,2019,1
2019-01-01 03:47:06,what a shame. so many user reflected the same problem but vendor is not bothered. App is slow to load. cannot submit feedback. poor design not user-friendly,1,Priscilla Tan,googleplay,1,2019,1
2019-10-17 17:49:46,"After update, the app kept prompting my last order which had been delivered. Not able to assess my cart. And it's getting annoying with the location thingy. Please fix the issue.",1,Angelina Tan,googleplay,10,2019,1
2019-10-27 10:18:59,"After update app, total unable to open the app at all. Really bad. Tried closing and re-open app, still unable to open.",1,Ivy Cheah,googleplay,10,2019,1
2019-03-20 20:30:32,"having a lot, a lot of problems making payment using standard chartered bank card. not exactly sure if it's the app problem or the bank",1,eric chee,googleplay,3,2019,1
2018-11-09 08:30:38,Very slow. Not easy to use. Will not use this platform till improvements are made.,1,Tristan Yeo,googleplay,11,2018,1
2019-10-21 13:32:23,"Updated version is so bad. I even tried to order and donate, it's just impossible. BAD!",1,Fanny Chow,googleplay,10,2019,1
2019-10-27 11:36:52,"Ever since the new interface, the page takes ages to load or doesn't event load.",1,Jace Ng,googleplay,10,2019,1
2019-07-28 12:52:35,"as a online shopping platform, how can so many items being sold out. somemore auto delete the items that we had selected in cart without save in a waiting list there for our future purchasing.",1,Kah Jih Choh,googleplay,7,2019,1
2019-10-04 09:19:41,"Avoid this update. Cart loses items, filters are buggy, app is slow, sorting/classification is arbitrary.",1,Dan Himmerich,googleplay,10,2019,1
2019-07-20 10:38:46,App seems suspicious...beware. Cant log in or out of account. Many items which are in stock on app are mostly sold out on website.,1,Rav 4x4,googleplay,7,2019,1
2019-10-27 10:04:21,The previous app was good. This new revised app is terrible. Hangs..... gave up trying to buy online. Pls fix it !!!,1,EC Chua,googleplay,10,2019,1
2019-08-09 16:27:57,Cannot save info and have to key in everytime you enter. Most of the real offers or better things are sold out so it is a marketplace to pick up the leftovers.,1,Shi Hao Tin Tin,googleplay,8,2019,1
2019-08-27 14:34:48,This upgrade is horrible. Now I cannot view all the pictures of the products and I have to re-register my credit card details and membership. What is this new upgrade for?,1,gena siah,googleplay,8,2019,1
2019-08-14 09:03:44,the biggest supermarket and yet you have so many things sold out for soooooo looooooong... dont make sense at all !! and I always have to login to the account so troublesome.,1,Steph Chen,googleplay,8,2019,1
2019-03-23 06:23:40,Very silly in requiring a log-in credential on a regular basis. Very brainless and poor apps.,1,Lewis Merchante Koh,googleplay,3,2019,1
2019-10-27 09:46:08,App is super slow. Can't load page or search at all. It keeps showing blank page.,1,Foo Irene,googleplay,10,2019,1
