isEdited,developerResponse,title,date,review,rating,userName
False,"{'id': 11747563, 'body': 'We’re sorry for the unstable app experience you had with us. We value your feedback and want to understand more so that we can continuously improve the user experience. \r\n\r\nCould you contact us at @ app-feedback@fairprice.com.sg? We assure you that your time would not be wasted. If you help us, we can compensate you for your time, pls write to us.\r\n', 'modified': '2019-11-09T11:54:40Z'}",Sent to the wrong address!,2019-10-22 10:55:43,"Ordered and chose 2-4pm delivery time. 

2.21 pm - received both confirmation text and on the app saying that items have been delivered. 
2.30 pm - finally got through customer service hotline and the person said to wait till 4pm, will be delivered by then and the message i received is just an automated message.
4.10 pm - groceries still not here, hence emailed the given email. 
5 pm - no news, hence decided to call Customer service again. Now they’re telling me it has been delivered, even has been signed. Hence give them time to investigated and meanwhile, they’ll send the signature to me to be verified at 5.19pm.
5.20 pm - verified the signature wasnt mine or any of my family members (im alone at home btw) 
6.13 pm - customer service lady emailed back saying she has “sent my feedback to the relevant department”

So ... AM I GETTING MY MONEY BACK OR AT LEAST NEW GROCERIES BACK? 

SOMEONE OUT THERE IS ENJOYING MY GROCERIES FOR FREE! 

Unacceptable.",1,ahzeeeeeeeee.r
False,,NTUC Apps,2018-03-08 16:40:28,"The apps is definitely better than the earlier version. However it will be good if it can hold on longer before logging us out from the system. Probably a prompt popping out to ask if the user would like to extend the usage time. OR it will be easier if we are allowed to copy and paste our email address upon logging in, instead of having the user to type out every time we are being logged out.",3,EChew
False,,Very Bad Interface / Display,2019-04-05 12:17:48,"I find it very very difficult to see clearly of the items photos, details etc. Very very slow in response. Not sensitive enough. Not user friendly enough. Even though I have $6 voucher to use I give up after used for sometime. I rather use Redmart (no voucher/discount) to order my groceries today. 

I hope the management can look into this and improve it ASAP as I hope to order from NTUC someday only after it has improved the systems/apps.

Redmart is so so much easier to use and fast whenever I want to delete or add items.",1,Baobao74
False,,Feedback,2018-03-04 03:10:52,"Well, the fact that ntuc is online to me is consider good. Please continue to listen to the feedback of the rest and improve the app. To make it as seamless as it can be. Especially since we are suppose to be moving forward  towards smart nation. It should be smarter also right this application. Consider a little of AI in the app perhaps?",5,LXO 26
False,,Bad User Experience,2018-02-16 03:40:56,"Application is very slow. Every time on each screen it keeps on showing loading circle.
Every time we are going through the saved lost for selecting items, in case of viewing details of an item and come back to main screen it again shows screen from start. User has to scroll down all the way again.
User need to login everyday, it can’t even remember user id. It would b much better to allow login with finger print.

Inside cart, annoying screen of delivery and promotion Lee on displaying and using up space, user not able to do anything while this screen is displaying.

NTUC members are not able to earn link points. That’s really big show stopper.

In short , many user experience issues. It really needs to be redesigned by consulting some user experience design teams and user research.

Red mart is the best so far.",1,Aniazsg
False,,Not easy to use when you want to shop,2019-05-14 05:27:54,"there should be a menu per category of each item. You have to manually type what is the item or brand you wanted to buy. There should be a menu and category must be listed there, so when user wanted to buy fruits just go to fruits section. That is more helpful.",4,Jhen-lyn
False,"{'id': 15890412, 'body': ""We sincerely apologize for the troubles you've had with the app. Please drop us a message at app-feedback@fairprice.com.sg so that we can understand this issue better and investigate further. Stay safe and have a good day (:\r"", 'modified': '2020-06-10T05:45:19Z'}",Difficulty during checkout,2020-05-21 01:40:13,"My 1st transaction went smoothly and was successful. However, the next one didn’t. I had difficulty proceeding to checkout. There was an available time slot for delivery so I’m not sure why I can’t checkout. I wish there is something like a note that tells me if I’m missing something or if my order is too much, etc. So in the end, i wasn’t able to buy anything. 😔",3,DianneDRB
False,"{'id': 12865683, 'body': ""We’re sorry for the unsatisfactory app experience you had with us. We're constantly working to ensure stock availability and improve our features.Please drop us a message at app-feedback@fairprice.com.sg if you have any other feedback/recommendations. We value your opinion and seek your help to improve the user experience."", 'modified': '2020-01-12T11:41:55Z'}",Out of stock items,2020-01-11 04:36:19,"This app keep on taking out items from my cart for out of stock (OOS) items, instead of indicating the items are out of stock. I have my app signed in mode 24/7 for the convenience of adding items to the cart whenever I remember, and would only checkout when I think I have all items I need in the cart.
It is frustrating when the app automatically take out  OOS items, but do not reinstate the items back to the cart when stock are back. Too much headache. Thumbs up to Redmart/Lazada app, no such headache.",1,ky***
False,,Glitches Unfixed for the longest time,2019-04-02 04:48:31,"Happily loaded my cart with merchandise, entered credit card OTP. Credit card issuer came back with text indicating transaction has been approved. FPOn app hanged. After refresh, merchandise still in cart. Order didn’t go through. 
This same problem has happened three times over three occasions over three months. 
I have updated to the latest IOS, as well as app version. Tried offload and reload app. Same problem. Too bothersome, cannot love, swap to other online grocer and won’t look back.",1,Ed0911
False,"{'id': 15466700, 'body': 'Thank you for your support and feedback. We will look into this suggestion to serve you better. Stay safe and have a good day (:\r\n', 'modified': '2020-05-21T10:12:43Z'}",Bring back certain feature and option.,2020-03-01 15:56:19,"Used to have product barcode scanning to find items as well as click and collect option. Both are convenient addition to the app/service. Do consider bringing them back.

Overall, the app is easy to navigate and use.",4,Annoy-mous
False,,Keeps crashing when checking out and user not friendly,2018-03-15 01:18:44,"Why is there the need to log in again and again? Keep prompting me that I did not choose a date of delivery even though I’m already in the payment page. 

Further, of the 2 times I’ve ordered with NTUC, the drivers were late on both occasions. Once was in the morning and another in the evening.  No explanations given. No apologies. As if they expect the clients to wait. If that’s the case, then what’s the point of selecting a time slot?

Lousy app. Poor service.",1,Jeff_Lim
False,,Definitely an improvement from the last app,2018-07-13 09:32:36,Definitely an improvement from the old version! More appealing to the eyes and easier to navigate compared to the old version but I wish it was more user friendly like honestbee’s app with the current functions intact. Thank you for improving the app!,4,YanaNasib
False,,"Love the deals, interface could use some improvement.",2019-06-24 12:21:37,"Had little to no problem using the app. The interface is less sensitive, in which I believe could use some improvement. 4th order with no problem at all.",5,Azmi In Boots
False,,Not very user friendly on phone devices .,2018-04-17 04:35:48,"Overall , not a very pleasant online purchase experience .

Images are very small on mobile phones , images cannot be zoomed in on main scroll page... you have to click images one by one to zoom in. 

The part where you have to enter OTO for credit card transaction was not properly displayed ... when keying in OTP, the area that I was suppose to be typing vanished on my iPhone 6.

Also, when ordering an item , I can’t enter more than 4 quantities . I read the item details several times but didn’t see anything on limited order quantity . I’m guessing there must be a limit that was why I couldn’t click more than 4 . It really does help to put such details on the item detail page !",2,BGYSG
False,,Missed items,2019-07-12 03:05:09,"Disappointed that latest order delivered on 11 July had 5 items missing 
Till today no response from FairPrice on
I need the items urgently and they were already paid
Do I need to contact the management for a response 
I am unable to speak to a customer service officer",4,ntucon
False,"{'id': 15465331, 'body': 'Thank you for your support and understanding during this period. We’ll continue to improve our user-experience, features, range of products and deals to serve you better. Have a great day! (:\r', 'modified': '2020-05-21T09:20:31Z'}",Awesome Experience,2020-05-16 04:41:12,It is awesome and convenient to purchase our house daily groceries through Fair Price amid this pandemic period. Really want to say thank you to Fair Price to their service. Always items send to my house without delays. I would also recommend it to my friends and colleagues.,5,Wendy Lim BB
False,,No stock issues!,2019-09-05 02:22:13,"Items that have no stock isn’t made available for days or weeks. I would check back & still no stock. They need to replenish & update their online inventory. Irregardless, giving them a 2 star because of a user friendly interface. 

Would be helpful if they can add an “edit” feature for cart so I can delete multiple items instead of having to do one at a time.",2,Parisyc
False,,Great app,2019-08-15 15:35:43,"Tried it a few times. Works smoothly and everything is good. Similar to honestbee. Only difference the time between ordering and delivery is not next day service. But if you have urgent purchases , can still do click and collect.",5,Cant think of!any
False,,App stability has improved,2018-07-20 23:45:46,The app has improved a lot since my last feedback. I stopped using their service and switched to using redmart for a while. Tried out again today and it is now much better! Thank you for the continuous effort to improve your service.,4,Shirleeeeeeey
